570.966,-46.4418,-940.461
580.009,-62.2661,-1055.35
580.237,-85.6775,-1022.49
580.003,-35.3382,-1058.38
580.151,-10.8758,-1030.75
580.972,5.2975,-980.051
582.864,8.34901,-920.219
585.382,-3.78777,-867.457
587.296,-28.6133,-835.599
587.487,-58.9609,-832.68
585.836,-85.4286,-859.423
583.327,-100.188,-909.122
581.25,-99.8197,-968.844
610.936,-72.6094,-1132.3
610.288,-112.268,-1079.63
611.036,-28.0862,-1137.15
610.373,13.0302,-1092.87
610.67,41.9104,-1011.53
613.567,49.3587,-915.813
618.439,29.6394,-832.106
622.447,-14.2623,-803.813
622.854,-69.0443,-810.126
619.374,-116.177,-819.445
614.41,-140.814,-898.137
611.002,-138.004,-993.565
653.469,-97.4305,-1171.55
653.531,-122.507,-1173.28
657.365,-80.2471,-1250.79
654.117,-52.751,-1188.35
656.255,-26.6058,-1232.14
653.948,-1.48674,-1184.21
654.958,19.6512,-1284.39
651.957,38.3111,-1113.6
651.63,60.0871,-1086.04
654.193,71.1296,-938.766
675.736,57.8291,-839.249
680.313,-12.778,-783.565
681.266,-74.7612,-774.172
676.597,-124.946,-812.818
655.148,-158.257,-918.038
651.581,-148.571,-1077.65
651.708,-129.094,-1094.92
656.158,-133.938,-1230.41
659.765,-113.487,-1285.69
661.951,-74.4716,-1349.41
662.162,-6.11449,-1315.57
657.671,52.0849,-1217.01
528.132,-46.4418,-952.074
537.175,-62.2661,-1044.8
537.403,-85.6775,-1018.28
537.169,-35.3382,-1047.24
537.318,-10.8758,-1024.94
538.138,5.2975,-984.026
540.03,8.34901,-935.737
542.548,-3.78777,-893.155
544.462,-28.6133,-867.443
544.653,-58.9609,-865.087
543.002,-85.4286,-886.671
540.493,-100.188,-926.781
538.416,-99.8197,-974.981
568.101,-72.6094,-1106.9
567.454,-112.268,-1064.39
568.202,-28.0862,-1110.81
567.539,13.0302,-1075.07
567.836,41.9104,-1009.43
570.733,49.3587,-932.181
575.605,29.6394,-864.624
579.613,-14.2623,-824.237
580.02,-69.0443,-820.556
576.54,-116.177,-854.405
571.576,-140.814,-917.916
568.168,-138.004,-994.933
610.634,-97.4305,-1138.58
610.697,-122.507,-1139.97
614.531,-80.2471,-1202.53
611.283,-52.751,-1152.14
613.421,-26.6058,-1187.47
611.114,-1.48674,-1148.79
612.124,21.9213,-1167.35
609.123,38.3111,-1091.81
608.796,78.2482,-1078.65
611.359,71.1296,-950.706
632.902,57.8291,-843.702
622.208,-3.69743,-815.99
623.16,-74.7612,-802.972
633.763,-138.567,-832.926
612.313,-158.257,-933.976
608.747,-162.192,-1074.15
608.874,-129.094,-1076.74
613.324,-133.938,-1186.08
616.931,-99.8661,-1230.69
619.117,-49.5,-1252.81
619.328,-6.11449,-1254.81
614.837,33.9237,-1206.42
1850.41,-60.1036,-1048.29
1617.97,39.7338,-1127.05
1611.2,62.3744,-1076.52
1585.21,84.4424,-1020.44
1607.98,37.9393,-969.841
1609.78,-13.087,-934.677
1599.04,-67.3005,-921.937
1598.29,-115.548,-934.223
1578.09,-162.666,-969.181
1558.86,-187.306,-1019.91
1612.85,-163.385,-1076.3
1614.07,-142.876,-1127.1
1616.27,-105.846,-1162.19
1619.01,-59.6308,-1174.65
1621.76,-13.3828,-1162.08
1467.28,80.2494,-1163.66
1481.49,137.438,-1102.64
1483.5,137.57,-994.679
1995.87,97.3819,-973.113
1938,160.268,-932.284
